antecedent,consequent,support,confidence,lift,antecedent_support,consequent_support
Age=60+ + Diabetes=Yes,Hypertension=Yes,0.08064779977097988,0.8202995008319467,1.6731701196482116,0.09831506625224931,0.4902666448552266
Diet=FiberLow + Rx=Statin,Hypertension=Yes,0.08539178799280223,0.8194662480376766,1.6714705286133857,0.10420415507933911,0.4902666448552266
Rx=Statin,Risk=High,0.1630950433502372,0.8776408450704225,1.6671903312353924,0.18583346965483397,0.5264191068215279
Diet=SugarHigh + Rx=Statin,Risk=High,0.09667920824472435,0.8755555555555555,1.6632290587666596,0.11042041550793391,0.5264191068215279
Hypertension=Yes + Smoking=Ever,Risk=High,0.2031735645345984,0.8728039353478566,1.6580020064578767,0.23278259447079994,0.5264191068215279
Diabetes=Yes + Rx=Antihypertensive,Hypertension=Yes,0.10502208408310158,0.8126582278481013,1.6575841664449258,0.1292327825944708,0.4902666448552266
Age=60+ + Cholesterol=High,Hypertension=Yes,0.18256175363978408,0.8122270742358079,1.6567047396741719,0.2247668902339277,0.4902666448552266
BMI=Obese + Diet=SodiumHigh,Risk=High,0.2306559790610175,0.8719851576994434,1.6564466342500612,0.2645182398167839,0.5264191068215279
Age=60+ + Sex=Female,Risk=High,0.13757565843284802,0.8697001034126163,1.652105883207372,0.15818746932766237,0.5264191068215279
Age=60+ + Rx=Antihypertensive,Risk=High,0.1940127596924587,0.8688644688644689,1.6505184891760403,0.22329461802715525,0.5264191068215279
Cholesterol=High + Rx=Statin,Hypertension=Yes,0.1354490430230656,0.8078048780487804,1.6476847579286602,0.16767544577130705,0.4902666448552266
Age=60+ + Diet=FiberLow,Hypertension=Yes,0.13315884181253068,0.8035538005923002,1.639013808148392,0.1657124161622771,0.4902666448552266
Rx=Statin,Hypertension=Yes,0.14902666448552265,0.8019366197183098,1.6357152340133558,0.18583346965483397,0.4902666448552266
Age=60+ + Smoking=Never,Hypertension=Yes,0.12039914935383608,0.8008705114254624,1.6335406861340847,0.15033535089154262,0.4902666448552266
Age=60+ + Diet=SodiumHigh,Risk=High,0.18566988385408145,0.8598484848484848,1.6333914816279635,0.215933256993293,0.5264191068215279
Alcohol=Regular + BMI=Obese,Risk=High,0.2123343693767381,0.8596026490066225,1.6329244852012068,0.24701455913626696,0.5264191068215279
Age=60+ + Sex=Female,Hypertension=Yes,0.1259610665794209,0.796277145811789,1.6241715690181735,0.15818746932766237,0.4902666448552266
Risk=High + Rx=Antihypertensive,Hypertension=Yes,0.2990348437755603,0.7940920938314509,1.6197147045684548,0.3765745133322428,0.4902666448552266
Diet=SodiumHigh + Rx=Statin,Hypertension=Yes,0.1045313266808441,0.7937888198757763,1.6190961147482885,0.13168656960575822,0.4902666448552266
Alcohol=Regular + Rx=Statin,Hypertension=Yes,0.10502208408310158,0.7935723114956736,1.6186545012255764,0.1323409128087682,0.4902666448552266
BMI=Obese + Sex=Male,Risk=High,0.1231801079666285,0.8518099547511312,1.6181212720303495,0.1446098478652053,0.5264191068215279
Diet=FiberLow + Hypertension=Yes,Risk=High,0.23131032226402748,0.8518072289156626,1.61811609395943,0.2715524292491412,0.5264191068215279
Rx=Statin + Sex=Male,Risk=High,0.0801570423687224,0.8492201039861352,1.613201521338485,0.09438900703418943,0.5264191068215279
BMI=Obese + Diet=SugarHigh,Risk=High,0.19613937510224114,0.8491501416430596,1.6130686189757684,0.23098315066252248,0.5264191068215279
BMI=Obese,Risk=High,0.29445444135449045,0.8490566037735849,1.6128909319042648,0.34680189759528873,0.5264191068215279
Age=60+ + Alcohol=Regular,Risk=High,0.17618190741043677,0.8473642800944138,1.6096761479854416,0.20791755275642074,0.5264191068215279
BMI=Obese + Sex=Female,Risk=High,0.17127433338786194,0.8470873786407768,1.6091501384807545,0.20219204973008342,0.5264191068215279
Activity=SedentaryHigh + Cholesterol=High,Risk=High,0.12367086536888598,0.8465845464725644,1.6081949448684854,0.14608212007197774,0.5264191068215279
Age=60+,Risk=High,0.2545395059708817,0.8451928299837045,1.6055512025141034,0.3011614591853427,0.5264191068215279
Age=60+,Hypertension=Yes,0.2368722394896123,0.7865290602933189,1.604288336861214,0.3011614591853427,0.4902666448552266
BMI=Obese + Rx=Antihypertensive,Risk=High,0.21135285457222314,0.8433420365535248,1.6020353851621183,0.2506134467528219,0.5264191068215279
Age=60+ + BMI=Overweight,Risk=High,0.09946016685751677,0.8432732316227461,1.6019046814511644,0.11794536234254867,0.5264191068215279
Diet=SugarHigh + Rx=Statin,Hypertension=Yes,0.08670047439882218,0.7851851851851852,1.6015472262385841,0.11042041550793391,0.4902666448552266
Age=60+ + Alcohol=Regular,Hypertension=Yes,0.1630950433502372,0.7844217151848938,1.5999899716133652,0.20791755275642074,0.4902666448552266
Diabetes=Prediabetes + Diet=SodiumHigh,Risk=High,0.12203500736136104,0.8410372040586246,1.5976570628994318,0.1451006052674628,0.5264191068215279
Age=60+ + BMI=Overweight,Hypertension=Yes,0.092262391624407,0.782246879334258,1.5955539450685081,0.11794536234254867,0.4902666448552266
Hypertension=Yes + Sex=Female,Risk=High,0.2059545231473908,0.8398932621747831,1.5954839998988344,0.24521511532798954,0.5264191068215279
Age=60+ + Diet=SugarHigh,Risk=High,0.15409782430885,0.839572192513369,1.5948740872698024,0.18354326844429902,0.5264191068215279
Age=60+ + Diet=SodiumHigh,Hypertension=Yes,0.16816620317356454,0.7787878787878788,1.5884985996097107,0.215933256993293,0.4902666448552266
Diabetes=Yes + Risk=High,Hypertension=Yes,0.12285293636512351,0.777432712215321,1.585734457715134,0.15802388352690985,0.4902666448552266
Diabetes=Prediabetes + Sex=Female,Risk=High,0.08719123180107967,0.8341158059467919,1.5845089874930822,0.1045313266808441,0.5264191068215279
Age=60+ + Diet=SugarHigh,Hypertension=Yes,0.14248323245542288,0.7762923351158646,1.5834084232777044,0.18354326844429902,0.4902666448552266
Age=60+ + Sex=Male,Hypertension=Yes,0.1109111729101914,0.7757437070938215,1.582289383204715,0.14297398985768037,0.4902666448552266
Age=60+ + Smoking=Ever,Hypertension=Yes,0.11647309013577621,0.772234273318872,1.5751311687681895,0.1508261082938001,0.4902666448552266
Age=45-59 + Risk=High,Hypertension=Yes,0.09749713724848683,0.7690322580645161,1.5685999978473095,0.12677899558318337,0.4902666448552266
Alcohol=Regular + Diabetes=Prediabetes,Risk=High,0.10943890070341894,0.8238916256157636,1.565086857485756,0.13283167021102568,0.5264191068215279
Diet=SodiumHigh + Hypertension=Yes,Risk=High,0.30067070178308525,0.8212689901697946,1.5601048281255296,0.3661050220840831,0.5264191068215279
Activity=Active + BMI=Obese,Risk=High,0.10960248650417144,0.8210784313725491,1.5597428374706004,0.13348601341403565,0.5264191068215279
BMI=Overweight + Risk=High,Hypertension=Yes,0.12219859316211353,0.7638036809815951,1.5579352358493463,0.1599869131359398,0.4902666448552266
Diabetes=Prediabetes + Diet=SugarHigh,Risk=High,0.10584001308686405,0.8189873417721518,1.555770547002226,0.1292327825944708,0.5264191068215279
Age=60+ + Sex=Male,Risk=High,0.1169638475380337,0.8180778032036612,1.5540427628912308,0.14297398985768037,0.5264191068215279
Cholesterol=High + Smoking=Ever,Risk=High,0.23196466546703745,0.817762399077278,1.5534436126660658,0.28365777850482576,0.5264191068215279
Risk=High + Sex=Male,Hypertension=Yes,0.18223458203827908,0.7609289617486339,1.5520716527091754,0.23948961230165222,0.4902666448552266
Risk=High + Smoking=Never,Hypertension=Yes,0.18501554065107148,0.7605917955615332,1.5513839326885728,0.2432520857189596,0.4902666448552266
Cholesterol=High + Diabetes=Yes,Hypertension=Yes,0.10845738589890397,0.7577142857142857,1.5455146575146574,0.14313757565843285,0.4902666448552266
Diabetes=Prediabetes,Risk=High,0.15475216751185997,0.809931506849315,1.5385678375916292,0.1910682152789138,0.5264191068215279
Age=60+ + Diabetes=No,Hypertension=Yes,0.08555537379355473,0.7525179856115108,1.5349157310788006,0.11369213152298381,0.4902666448552266
Diabetes=Prediabetes + Rx=Antihypertensive,Risk=High,0.11303778831997383,0.802555168408827,1.5245555452091857,0.1408473744478979,0.5264191068215279
Diabetes=Yes + Diet=SodiumHigh,Hypertension=Yes,0.09406183543268444,0.7419354838709677,1.5133305348359112,0.12677899558318337,0.4902666448552266
Diabetes=Yes,Hypertension=Yes,0.12808768198920334,0.7400756143667298,1.5095369471550948,0.17307377719613937,0.4902666448552266
Hypertension=Yes + Rx=Antihypertensive,Risk=High,0.2990348437755603,0.7940920938314509,1.5084788594131942,0.3765745133322428,0.5264191068215279
Diabetes=Prediabetes + Risk=High,Hypertension=Yes,0.11434647472599378,0.7389006342494715,1.507140332721728,0.15475216751185997,0.4902666448552266
Hypertension=Yes,Risk=High,0.3881891051856699,0.7917917917917918,1.5041091433260483,0.4902666448552266,0.5264191068215279
Risk=High,Hypertension=Yes,0.3881891051856699,0.7374145431945307,1.504109143326048,0.5264191068215279,0.4902666448552266
Cholesterol=High + Diet=FiberLow,Risk=High,0.26108293800098153,0.7893175074183977,1.4994089256832395,0.3307704891215443,0.5264191068215279
Cholesterol=High + Risk=High,Hypertension=Yes,0.31948306886962213,0.7342105263157895,1.4975738896791528,0.4351382300016359,0.4902666448552266
Alcohol=Regular + Hypertension=Yes,Risk=High,0.28382136430557825,0.787920072661217,1.4967543207514042,0.3602159332569933,0.5264191068215279
Alcohol=Regular + Risk=High,Hypertension=Yes,0.28382136430557825,0.7305263157894736,1.4900591819890063,0.3885162767871749,0.4902666448552266
Alcohol=Regular + Diabetes=Yes,Hypertension=Yes,0.08670047439882218,0.7300275482093664,1.489041842577196,0.11876329134631114,0.4902666448552266
Age=60+ + Smoking=Never,Risk=High,0.11761819074104368,0.7823721436343852,1.4862153244366054,0.15033535089154262,0.5264191068215279
Diet=SugarHigh + Hypertension=Yes,Risk=High,0.24488794372648454,0.778876170655567,1.4795742794336486,0.3144119090462948,0.5264191068215279
Diet=SodiumHigh + Risk=High,Hypertension=Yes,0.30067070178308525,0.7250493096646944,1.4788876976911167,0.414690004907574,0.4902666448552266
Rx=Statin + Sex=Female,Cholesterol=High,0.08408310158678227,0.9194991055456172,1.4706692915228565,0.09144446262064453,0.6252249304760347
Risk=High + Rx=Statin,Cholesterol=High,0.14968100768853262,0.917753259779338,1.4678769432315786,0.1630950433502372,0.6252249304760347
BMI=Obese + Smoking=Never,Risk=High,0.15344348110584002,0.7720164609053498,1.4665433889106287,0.19875674791428105,0.5264191068215279
Risk=High + Sex=Female,Hypertension=Yes,0.2059545231473908,0.7177879133409351,1.4640765813323777,0.28692949451987565,0.4902666448552266
Risk=High + Smoking=Ever,Hypertension=Yes,0.2031735645345984,0.7175043327556325,1.4634981602052657,0.2831670211025683,0.4902666448552266
Activity=Active + Risk=High,Hypertension=Yes,0.12726975298544085,0.716390423572744,1.4612261125459405,0.17765417961720922,0.4902666448552266
BMI=Obese + Risk=High,Hypertension=Yes,0.20988058236545068,0.7127777777777777,1.4538573758944129,0.29445444135449045,0.4902666448552266
Hypertension=Yes + Rx=Statin,Cholesterol=High,0.1354490430230656,0.9088913282107575,1.4537029537813606,0.14902666448552265,0.6252249304760347
Rx=Statin + Smoking=Never,Cholesterol=High,0.08228365777850483,0.907942238267148,1.4521849561818618,0.09062653361688205,0.6252249304760347
Diet=SugarHigh + Risk=High,Hypertension=Yes,0.24488794372648454,0.7098150782361309,1.4478143387579139,0.3450024537870113,0.4902666448552266
Diet=SugarHigh + Rx=Statin,Cholesterol=High,0.09995092425977425,0.9051851851851852,1.4477752582514487,0.11042041550793391,0.6252249304760347
Diet=FiberLow + Risk=High,Hypertension=Yes,0.23131032226402748,0.7087719298245614,1.4456866222948093,0.3263536725012269,0.4902666448552266
Rx=Statin,Cholesterol=High,0.16767544577130705,0.9022887323943661,1.4431426010274098,0.18583346965483397,0.6252249304760347
Diet=SodiumHigh + Rx=Statin,Cholesterol=High,0.11876329134631114,0.901863354037267,1.4424622405101553,0.13168656960575822,0.6252249304760347
Rx=Antihypertensive + Rx=Statin,Cholesterol=High,0.12399803697039097,0.901307966706302,1.4415739404698127,0.13757565843284802,0.6252249304760347
Diabetes=No + Risk=High,Hypertension=Yes,0.1509896940945526,0.7067381316998469,1.4415382712983529,0.21364305578275805,0.4902666448552266
Alcohol=Regular + Rx=Statin,Cholesterol=High,0.11925404874856863,0.9011124845488258,1.4412612815402857,0.1323409128087682,0.6252249304760347
Rx=Statin + Smoking=Ever,Cholesterol=High,0.08539178799280223,0.8969072164948453,1.4345352732687047,0.09520693603795191,0.6252249304760347
Activity=SedentaryHigh + Diet=FiberLow,Risk=High,0.0955341076394569,0.7545219638242895,1.4333103681969799,0.12661540978243088,0.5264191068215279
Diet=FiberLow + Rx=Statin,Cholesterol=High,0.09324390642892197,0.8948194662480377,1.4311960746138812,0.10420415507933911,0.6252249304760347
