risk_level,participants,mean_age,mean_bmi,mean_systolic_bp,mean_hba1c,mean_total_cholesterol,high_risk_rate,diabetes_rate,hypertension_rate,high_cholesterol_rate,obesity_rate
High,3218,55.605034182722186,31.894561839651956,127.91195359436503,6.028029832193909,191.1078309509012,1.0,0.3001864512119329,0.7374145431945308,0.8266003729024238,0.5655686761963953
Low,1022,32.8385518590998,23.51320939334638,111.70711024135682,5.223287671232876,173.30528375733854,0.0,0.005870841487279843,0.06262230919765166,0.20645792563600782,0.010763209393346379
Medium,1873,41.20074746396156,26.554404698344904,118.22495105890728,5.412867058195408,186.8184730379071,0.0,0.04591564335290977,0.29898558462359853,0.5077415910304325,0.17138280832888414
