bmi_group,participants,mean_age,mean_bmi,mean_systolic_bp,mean_hba1c,mean_total_cholesterol,high_risk_rate,diabetes_rate,hypertension_rate,high_cholesterol_rate,obesity_rate
Normal,1761,44.030096536059055,22.378989210675755,119.26670452394472,5.438160136286201,181.53946621237932,0.23339011925042588,0.08517887563884156,0.3390119250425894,0.4696195343554798,0.0
Obese,2120,48.531132075471696,36.287547169811326,125.02232704402515,5.952971698113207,190.05754716981133,0.8490566037735849,0.25566037735849056,0.6283018867924528,0.7561320754716981,1.0
Overweight,2110,49.413270142180096,27.457061611374407,122.10236966824644,5.698909952606636,188.4516587677725,0.46350710900473935,0.17156398104265402,0.4872037914691943,0.6364928909952606,0.015165876777251185
Underweight,122,40.83606557377049,17.460655737704915,118.92349726775956,5.353278688524591,178.4262295081967,0.23770491803278687,0.03278688524590164,0.32786885245901637,0.4016393442622951,0.0
