age_group,participants,mean_age,mean_bmi,mean_systolic_bp,mean_hba1c,mean_total_cholesterol,high_risk_rate,diabetes_rate,hypertension_rate,high_cholesterol_rate,obesity_rate
18-29,1300,22.734615384615385,27.202692307692306,113.60358974358974,5.245153846153846,169.88846153846154,0.21769230769230768,0.026153846153846153,0.15615384615384614,0.4346153846153846,0.26153846153846155
30-44,1547,37.085326438267614,29.452553329023917,117.25921137685843,5.5081447963800905,190.59469941822883,0.39043309631544926,0.09049773755656108,0.3400129282482224,0.5701357466063348,0.39107950872656755
45-59,1425,51.82105263157895,29.667087719298245,123.15228070175439,5.901614035087719,198.08491228070176,0.543859649122807,0.1985964912280702,0.5754385964912281,0.7024561403508772,0.3936842105263158
60+,1841,70.01412275936991,28.89809885931559,131.80010863661053,6.042965779467681,186.87561108093428,0.8451928299837045,0.3264530146659424,0.7865290602933188,0.7463335143943509,0.3508962520369365
