items,item_count,support
Diet=FiberLow + Hypertension=No,2,0.2661540978243089
BMI=Obese + Diet=SodiumHigh,2,0.2645182398167839
BMI=Obese + Cholesterol=High,2,0.262228038606249
Activity=Active + Diet=SugarHigh,2,0.261573695403239
Hypertension=Yes + Smoking=Never,2,0.2574840503844266
Cholesterol=Normal + Diet=SugarHigh,2,0.25715687878292165
Age=60+ + Risk=High,2,0.2545395059708817
Activity=Active + Diabetes=No,2,0.2524128905610993
BMI=Obese + Rx=Antihypertensive,2,0.2506134467528219
BMI=Overweight + Rx=Antihypertensive,2,0.25028627515131685
Diabetes=No + Smoking=Ever,2,0.24815965974153442
Alcohol=Regular + BMI=Obese,2,0.24701455913626696
Hypertension=Yes + Sex=Female,2,0.24521511532798954
Hypertension=Yes + Sex=Male,2,0.24505152952723702
Cholesterol=Normal + Hypertension=No,2,0.24341567151971208
Risk=High + Smoking=Never,2,0.2432520857189596
Sex=Male + Smoking=Ever,2,0.24194339931293965
Diet=FiberLow + Smoking=Ever,2,0.24096188450842468
Risk=High + Sex=Male,2,0.23948961230165222
Diabetes=No + Hypertension=Yes,2,0.23916244070014722
Risk=NotHigh + Sex=Male,2,0.23752658269262228
Age=60+ + Hypertension=Yes,2,0.2368722394896123
Cholesterol=Normal + Smoking=Never,2,0.2365450678881073
Risk=NotHigh + Sex=Female,2,0.23605431048584982
BMI=Overweight + Diet=SugarHigh,2,0.23589072468509734
Sex=Male + Smoking=Never,2,0.23507279568133485
Hypertension=Yes + Smoking=Ever,2,0.23278259447079994
Hypertension=No + Sex=Male,2,0.23196466546703745
BMI=Obese + Diet=SugarHigh,2,0.23098315066252248
Diet=FiberLow + Sex=Male,2,0.22951087845575005
Activity=Active + Cholesterol=High,2,0.22509406183543268
Age=60+ + Cholesterol=High,2,0.2247668902339277
BMI=Normal + Diabetes=No,2,0.22362178962866022
Age=60+ + Rx=Antihypertensive,2,0.22329461802715525
BMI=Normal + Diet=SodiumHigh,2,0.22329461802715525
BMI=Overweight + Diabetes=No,2,0.22231310322264028
BMI=Normal + Risk=NotHigh,2,0.22084083101586782
BMI=Overweight + Cholesterol=High,2,0.21969573041060037
BMI=Obese + Hypertension=Yes,2,0.2178962866023229
Age=60+ + Diet=SodiumHigh,2,0.215933256993293
Diabetes=No + Risk=High,2,0.21364305578275805
Diet=FiberLow + Risk=NotHigh,2,0.21135285457222314
Activity=Active + Sex=Male,2,0.21086209716996565
Age=60+ + Alcohol=Regular,2,0.20791755275642074
Alcohol=Regular + BMI=Normal,2,0.20759038115491577
Cholesterol=Normal + Diet=FiberLow,2,0.20693603795190577
Activity=Active + Smoking=Never,2,0.2059545231473908
Activity=Active + Hypertension=No,2,0.20464583674137085
Age=30-44 + Diet=SodiumHigh,2,0.20382790773760837
BMI=Normal + Rx=Antihypertensive,2,0.20366432193685588
BMI=Obese + Sex=Female,2,0.20219204973008342
Activity=Active + Risk=NotHigh,2,0.1995746769180435
BMI=Obese + Smoking=Never,2,0.19875674791428105
Age=30-44 + Alcohol=Regular,2,0.19744806150826108
Age=30-44 + Diabetes=No,2,0.1967937183052511
Age=18-29 + Diabetes=No,2,0.19515786029772617
Cholesterol=Normal + Sex=Female,2,0.1938491738917062
BMI=Normal + Diet=SugarHigh,2,0.1936855880909537
BMI=Overweight + Diet=FiberLow,2,0.19319483068869622
Activity=Active + Diet=FiberLow,2,0.19221331588418125
BMI=Overweight + Smoking=Never,2,0.19123180107966628
BMI=Normal + Hypertension=No,2,0.19041387207590382
Cholesterol=High + Risk=NotHigh,2,0.19008670047439882
BMI=Overweight + Sex=Male,2,0.18975952887289382
BMI=Obese + Diet=FiberLow,2,0.18943235727138885
Hypertension=No + Smoking=Ever,2,0.18910518566988385
BMI=Overweight + Risk=NotHigh,2,0.185179126451824
Age=60+ + Diet=SugarHigh,2,0.18354326844429902
Age=45-59 + Alcohol=Regular,2,0.18223458203827908
Age=30-44 + Rx=Antihypertensive,2,0.1814166530345166
Cholesterol=Normal + Sex=Male,2,0.1809258956322591
Age=30-44 + Diet=SugarHigh,2,0.18076230983150662
Sex=Female + Smoking=Ever,2,0.17994438082774414
Age=18-29 + Hypertension=No,2,0.17945362342548668
Age=45-59 + Diet=SodiumHigh,2,0.17912645182398168
Activity=SedentaryHigh + Diet=SodiumHigh,2,0.1789628660232292
Activity=Active + Risk=High,2,0.17765417961720922
BMI=Normal + Smoking=Never,2,0.17716342221495174
BMI=Overweight + Hypertension=No,2,0.17699983641419925
Age=18-29 + Diet=SodiumHigh,2,0.17356453459839685
BMI=Obese + Diabetes=No,2,0.17291019139538688
Activity=Active + Hypertension=Yes,2,0.17258301979388188
Activity=Active + Smoking=Ever,2,0.17127433338786194
Activity=SedentaryHigh + Alcohol=Regular,2,0.16865696057582202
BMI=Overweight + Hypertension=Yes,2,0.16816620317356454
Cholesterol=High + Rx=Statin,2,0.16767544577130705
Age=30-44 + Hypertension=No,2,0.16702110256829708
Activity=Active + Sex=Female,2,0.16636675936528708
Age=18-29 + Risk=NotHigh,2,0.16636675936528708
Age=60+ + Diet=FiberLow,2,0.1657124161622771
Age=45-59 + Cholesterol=High,2,0.16374938655324717
Risk=High + Rx=Statin,2,0.1630950433502372
Age=18-29 + Rx=Antihypertensive,2,0.16145918534271225
BMI=Overweight + Risk=High,2,0.1599869131359398
Age=60+ + Sex=Female,2,0.15818746932766237
Diabetes=Yes + Risk=High,2,0.15802388352690985
Activity=SedentaryHigh + Rx=Antihypertensive,2,0.1572059545231474
Activity=SedentaryHigh + Risk=High,2,0.15606085391787994
Age=45-59 + Diet=SugarHigh,2,0.15573368231637494
BMI=Overweight + Sex=Female,2,0.15540651071486994
Diabetes=Prediabetes + Risk=High,2,0.15475216751185997
Age=30-44 + Risk=NotHigh,2,0.15426141010960248
Age=18-29 + Diet=SugarHigh,2,0.1539342385080975
BMI=Overweight + Smoking=Ever,2,0.1539342385080975
BMI=Normal + Sex=Female,2,0.15344348110584002
Activity=SedentaryHigh + Diet=SugarHigh,2,0.15278913790283002
BMI=Normal + Cholesterol=Normal,2,0.15278913790283002
